    45.0000     -0.0068    292.0000     -0.6551     36.4948     39.4121    221.7697   -306.1192 292 292
    75.4167     -0.0068      1.0000     -0.8116     38.1076     38.6994    200.1432   -306.1338   1 292
   105.8333     -0.0068      1.0000     -0.8163     39.1061     40.4259    180.0659   -306.1338   1 292
   136.2500     -0.0068      1.0000     -0.3872     35.5760     40.0710    152.5286   -306.1338   1 292
   166.6667     -0.0068      1.0000      0.3962     28.6422     36.9177    144.1750   -306.1337   1 292
   197.0833     -0.0068      1.0000      0.9798     23.4973     35.8402    172.3549   -306.1337   1 292
   227.5000     -0.0068      1.0000      1.0224     26.6227     42.4829    195.3113   -306.1338   1 292
   257.9167     -0.0068      1.0000      0.5698     33.8358     50.8053    208.6022   -306.1338   1 292
   288.3333     -0.0068      1.0000     -0.0051     35.8275     50.6005    229.9724   -306.1338   1 292
   318.7500     -0.0068      1.0000     -0.5103     36.5192     43.4610    221.5230   -306.1338   1 292
   349.1667     -0.0068      1.8194     -0.8178     37.9880     38.0819    188.5450   -306.1338   3 292
   379.5833     -0.0068     79.7896     -0.7363     35.6998     35.1221    172.8737   -306.1338  89 292
    15.0000     -0.0068    190.0610     -0.6057     34.4278     36.1828    200.4549   -306.1394 292 292
    45.0000     -0.0015    292.0000     -0.6544     36.4771     39.3930    221.7697   -306.1607 292 292
    75.4167      0.2418    292.0000     -1.3425     37.6922     38.1568    200.1432   -307.2526 292 292
   105.8333      0.9029    292.0000     -1.3213     37.4672     38.3129    180.0659   -310.2349 292 292
   136.2500      1.6217    292.0000     -1.1516     32.6563     36.3451    152.5286   -313.5024 292 292
   166.6667      2.3447    292.0000     -0.9104     25.8168     33.5637    144.1750   -316.8161 292 292
   197.0833      2.8751    292.0000     -0.6948     19.7019     32.1405    172.3549   -319.2622 292 292
   227.5000      4.4323    292.0000     -0.6434     18.2437     36.2946    195.3113   -326.5881 292 292
   257.9167     13.4918      1.0000      1.1322    -32.1039     18.1380    208.6022   -371.3091   1 292
   288.3333     15.7174      1.3354      1.6044    -45.4957     14.5431    229.9724   -382.9568   2 292
   318.7500     17.0951      2.0000      1.5035    -42.6344      6.7522    221.5230   -390.3126   2 292
   349.1667     17.5511      2.3868      1.3012    -36.8984      0.5506    188.5450   -392.7742   3 292
   379.5833     17.7235      3.5201      1.2558    -35.6089     -0.3006    172.8737   -393.7047   4 292
    15.0000     17.9044      4.7381      1.6624    -47.1391     -1.3230    200.4549   -394.6866   6 292
    45.0000     18.0281      7.1937      1.9293    -54.7086     -1.4477    221.7697   -395.3562   9 292
    75.4167     18.5649     10.0049      1.9660    -55.7500     -4.2444    200.1432   -398.2789  11 292
   105.8333     18.4294     13.3215      2.2432    -63.6095     -6.9676    180.0659   -397.5447  15 292
   136.2500     17.4146     17.5528      2.5235    -71.5564    -10.4042    152.5286   -392.0451  20 292
   166.6667     16.0140     22.1750      2.6095    -73.9967    -11.8304    144.1750   -384.5392  24 292
   197.0833     15.1156     25.9937      2.6012    -73.7605     -7.1712    172.3549   -379.7771  27 292
   227.5000     14.9972     28.3889      2.4891    -70.5811      0.0237    195.3113   -379.1505  29 292
   257.9167     15.5266     29.0000      2.2864    -64.8343      6.4309    208.6022   -381.9438  29 292
   288.3333     16.6817     25.0000      2.2177    -62.8850      9.1388    229.9724   -388.0944  25 292
   318.7500     18.0686     21.9167      2.2040    -62.4977      1.1076    221.5230   -395.5756  24 292
   349.1667     18.8783     25.7167      2.2270    -63.1496     -8.5676    188.5450   -399.9938  28 292
